Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,"5,767,700","651,565,900","5,332,281,936","150,597,040",210.0,40975.0,62.0,"17,598,718",114.0,"18,004,655","22,931",2669262.0,0,2024,4
Not Like Us,Not Like Us,Kendrick Lamar,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,"674,700","35,223,547","208,339,025","156,380,351",188.0,40778.0,67.0,"10,422,430",111.0,"7,780,028","28,444",1118279.0,1,2024,5
i like the way you kiss me,I like the way you kiss me,Artemas,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,"3,025,400","275,154,237","3,369,120,610","373,784,955",190.0,74333.0,136.0,"36,321,847",172.0,"5,022,621","5,639",5285340.0,0,2024,3
Flowers,Flowers - Single,Miley Cyrus,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,"7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,1474799.0,264.0,"24,684,248",210.0,"190,260,277","203,384",11822942.0,0,2023,1
Houdini,Houdini,Eminem,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,"16,400",,,"112,763,851",182.0,12185.0,82.0,"17,660,624",105.0,"4,493,884","7,006",457017.0,1,2024,5
Lovin On Me,Lovin On Me,Jack Harlow,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,"4,202,367","214,943,489","2,938,686,633","2,867,222,632",138.0,522042.0,86.0,"17,167,254",152.0,"138,529,362","50,982",4517131.0,1,2023,11
Beautiful Things,Beautiful Things,Benson Boone,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,,"29,584,940","534,915,313","4,601,579,812",280.0,383478.0,168.0,"48,197,850",154.0,"65,447,476","57,372",9990302.0,0,2024,1
Gata Only,Gata Only,FloyyMenor,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,"3,500,000","338,546,668","3,804,584,163","2,112,581,620",160.0,17221.0,87.0,"33,245,595",53.0,"3,372,428","5,762",6063523.0,1,2024,2
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,"325,800","121,574,500","974,656,200","174,706,874",191.0,3823.0,78.0,"10,800,098",92.0,"1,005,626",842,666302.0,1,2024,5
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,USUM72404990,11,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,,"184,500","2,100,000","327,130,768",157.0,62312.0,60.0,"12,009,073",114.0,"23,155,471","21,172",963413.0,1,2024,5
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,USUM72401991,13,316.3,221636195.0,13800.0,197280692.0,92.0,40022524.0,1307290.0,"195,300","45,889,000","360,017,000","342,107,131",244.0,41344.0,138.0,"38,243,636",163.0,"1,354,692","1,219",450344.0,0,2024,5
Like That,WE DON'T TRUST YOU,Future,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,1456177.0,,,,"174,491,415",153.0,90237.0,55.0,"3,001,826",109.0,"26,252,264","18,364",1963314.0,1,2024,3
LALA,LALA - Single,Myke Towers,USWL12300002,16,299.9,925655569.0,103605.0,79944921.0,79.0,934302031.0,4294166.0,"11,054,500","521,725,116","7,499,234,052","2,042,145,659",94.0,92231.0,60.0,"5,633,435",83.0,"12,171,026","13,242",2765808.0,1,2023,3
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401028,17,297.6,395433400.0,12784.0,177932568.0,89.0,104673836.0,2484083.0,"139,300","25,348,800","207,317,000","268,893,710",221.0,129968.0,99.0,"37,988,531",134.0,"9,961,769","13,437",1210029.0,0,2024,4
